population,median_income,median_house_val,num_of_white,num_of_black,num_of_indigenous,num_of_asian,num_of_islanders,num_of_others,state,county
956446.0,101194.0,443100.0,650345.0,109668.0,2175.0,52143.0,540.0,77453.0,CT,001
898636.0,80320.0,249000.0,599498.0,124499.0,2483.0,51021.0,335.0,58696.0,CT,003
185175.0,84797.0,270000.0,167417.0,3296.0,189.0,3526.0,0.0,3185.0,CT,005
164568.0,90833.0,298300.0,140541.0,8912.0,421.0,5377.0,15.0,1933.0,CT,007
864751.0,75043.0,259400.0,597439.0,119484.0,1526.0,35318.0,330.0,57149.0,CT,009
269131.0,79040.0,257600.0,211182.0,16090.0,1439.0,11058.0,27.0,9982.0,CT,011
150120.0,88525.0,264500.0,128545.0,4698.0,157.0,7277.0,3.0,3427.0,CT,013
116503.0,71418.0,217300.0,100917.0,2643.0,324.0,1588.0,12.0,3780.0,CT,015
514969.0,78304.0,360600.0,365720.0,17520.0,5916.0,20531.0,767.0,40690.0,CO,001
16377.0,46217.0,160400.0,11965.0,347.0,563.0,191.0,39.0,1347.0,CO,003
651621.0,84947.0,415500.0,437618.0,71698.0,4403.0,40557.0,1539.0,38454.0,CO,005
13267.0,62907.0,356400.0,10664.0,41.0,407.0,125.0,19.0,1617.0,CO,007
3519.0,39891.0,117900.0,3210.0,22.0,39.0,50.0,9.0,85.0,CO,009
5861.0,40972.0,88900.0,4467.0,296.0,171.0,60.0,18.0,311.0,CO,011
328713.0,92466.0,575700.0,279046.0,2964.0,1444.0,15518.0,241.0,7368.0,CO,013
72697.0,107570.0,482100.0,60366.0,1032.0,241.0,4981.0,0.0,1480.0,CO,014
19436.0,61216.0,416100.0,17880.0,278.0,71.0,188.0,136.0,239.0,CO,015
1691.0,69063.0,157500.0,1490.0,5.0,0.0,3.0,4.0,23.0,CO,017
9427.0,76313.0,471400.0,8684.0,135.0,39.0,161.0,0.0,64.0,CO,019
7579.0,38536.0,129600.0,5651.0,37.0,203.0,19.0,0.0,343.0,CO,021
3517.0,35000.0,123000.0,2453.0,0.0,165.0,40.0,0.0,125.0,CO,023
6018.0,37870.0,71200.0,4528.0,265.0,179.0,42.0,0.0,108.0,CO,025
4720.0,59877.0,262700.0,4470.0,81.0,5.0,40.0,0.0,40.0,CO,027
31133.0,51803.0,268400.0,28539.0,418.0,173.0,288.0,0.0,643.0,CO,029
706799.0,78177.0,459100.0,486538.0,63384.0,5819.0,25105.0,1026.0,54700.0,CO,031
2288.0,62500.0,181400.0,1954.0,0.0,106.0,0.0,0.0,168.0,CO,033
351929.0,127443.0,540400.0,301642.0,5297.0,1367.0,18317.0,220.0,5977.0,CO,035
55693.0,91338.0,640400.0,45327.0,504.0,43.0,807.0,52.0,2043.0,CO,037
25897.0,114904.0,538800.0,23148.0,66.0,207.0,234.0,12.0,309.0,CO,039
722736.0,75909.0,331400.0,550813.0,44429.0,6323.0,19416.0,2045.0,29337.0,CO,041
49007.0,53411.0,217500.0,43510.0,2184.0,614.0,346.0,2.0,479.0,CO,043
61221.0,77212.0,383600.0,49354.0,326.0,338.0,550.0,73.0,5579.0,CO,045
5812.0,96784.0,411500.0,5374.0,50.0,99.0,0.0,0.0,0.0,CO,047
15629.0,69353.0,374800.0,13978.0,136.0,48.0,123.0,0.0,54.0,CO,049
16851.0,63341.0,435800.0,15609.0,149.0,120.0,27.0,44.0,191.0,CO,051
858.0,45714.0,338600.0,766.0,9.0,11.0,2.0,0.0,9.0,CO,053
6787.0,45724.0,193200.0,5986.0,6.0,159.0,4.0,0.0,239.0,CO,055
1375.0,44667.0,239100.0,1331.0,9.0,0.0,0.0,0.0,0.0,CO,057
580130.0,93933.0,463400.0,499171.0,6576.0,3789.0,16391.0,396.0,14034.0,CO,059
1414.0,45476.0,105500.0,1372.0,7.0,3.0,0.0,0.0,5.0,CO,061
7071.0,52917.0,161100.0,6071.0,6.0,49.0,6.0,4.0,566.0,CO,063
7417.0,73099.0,262800.0,5865.0,14.0,141.0,48.0,4.0,531.0,CO,065
55673.0,75089.0,430200.0,47635.0,303.0,3204.0,472.0,16.0,1231.0,CO,067
354670.0,80664.0,420200.0,311544.0,3495.0,2242.0,7270.0,320.0,7274.0,CO,069
